Comparison	Tracts	Bases	n
GCT_PP_ST_14	   223	 2059712	 18
GCT_TL_ST_01	    46	 1768582	 17
GCT_TL_ST_02	    24	  736384	 17
GCT_TL_ST_03	   399	 4313636	 17
GCT_TL_ST_04	   128	 1208621	 17
GCT_TL_ST_05	    75	  876941	 17
GCT_TL_ST_06	    11	  259516	 17
GCT_TL_ST_07	    89	 1462494	 17
GCT_TL_ST_08	   506	 3314151	 17
GCT_TL_ST_09	    79	  892056	 17
GCT_TL_ST_10	    89	  823970	 17
GCT_TL_ST_11	   169	 1495096	 17
GCT_TL_ST_12	    54	  394367	 17
GCT_TL_ST_13	    12	  182266	 17
GCT_TL_ST_14	   292	 2059712	 17
GCT_AR_TL_01	    73	 1768582	 24
GCT_AR_TL_02	    55	  736384	 24
GCT_AR_TL_03	  1138	 4313636	 24
GCT_AR_TL_04	   363	 1208621	 24
GCT_AR_TL_05	   250	  876941	 24
GCT_AR_TL_06	    66	  259516	 24
GCT_AR_TL_07	   359	 1462494	 24
GCT_AR_TL_08	   984	 3314151	 24
GCT_AR_TL_09	   269	  892056	 24
GCT_AR_TL_10	   164	  823970	 24
GCT_AR_TL_11	   399	 1495096	 24
GCT_AR_TL_12	   106	  394367	 24
GCT_AR_TL_13	    56	  182266	 24
GCT_AR_TL_14	   334	 2059712	 24
GCT_CH_TL_01	    90	 1768582	 18
GCT_CH_TL_02	    77	  736384	 18
GCT_CH_TL_03	   765	 4313636	 18
GCT_CH_TL_04	   227	 1208621	 18
GCT_CH_TL_05	   152	  876941	 18
GCT_CH_TL_06	    71	  259516	 18
GCT_CH_TL_07	   297	 1462494	 18
GCT_CH_TL_08	   668	 3314151	 18
GCT_CH_TL_09	   190	  892056	 18
GCT_CH_TL_10	   193	  823970	 18
GCT_CH_TL_11	   290	 1495096	 18
GCT_CH_TL_12	    71	  394367	 18
GCT_CH_TL_13	    68	  182266	 18
GCT_CH_TL_14	   354	 2059712	 18
GCT_CU_TL_01	   269	 1768582	 12
GCT_CU_TL_02	   122	  736384	 12
GCT_CU_TL_03	  1599	 4313636	 12
GCT_CU_TL_04	   215	 1208621	 12
GCT_CU_TL_05	   173	  876941	 12
GCT_CU_TL_06	    75	  259516	 12
GCT_CU_TL_07	   319	 1462494	 12
GCT_CU_TL_08	   538	 3314151	 12
GCT_CU_TL_09	   219	  892056	 12
GCT_CU_TL_10	   337	  823970	 12
GCT_CU_TL_11	   574	 1495096	 12
GCT_CU_TL_12	    75	  394367	 12
GCT_CU_TL_13	    77	  182266	 12
GCT_CU_TL_14	   565	 2059712	 12
GCT_PP_TL_01	    75	 1768582	 19
GCT_PP_TL_02	    82	  736384	 19
GCT_PP_TL_03	  1054	 4313636	 19
GCT_PP_TL_04	   229	 1208621	 19
GCT_PP_TL_05	   186	  876941	 19
GCT_PP_TL_06	    33	  259516	 19
GCT_PP_TL_07	   203	 1462494	 19
GCT_PP_TL_08	   731	 3314151	 19
GCT_PP_TL_09	   251	  892056	 19
GCT_PP_TL_10	    96	  823970	 19
GCT_PP_TL_11	   161	 1495096	 19
GCT_PP_TL_12	    16	  394367	 19
GCT_PP_TL_13	    10	  182266	 19
GCT_PP_TL_14	   139	 2059712	 19
