Donor_Arr	Recipient_Arr	Region	Length	Psi	exclude
CH	AR	2	9961	0.00049	N
CH	AR	2	22946	0.00049	N
CH	AR	2	322	0.00049	N
CH	AR	2	12	0.00049	N
CH	AR	2	6773	0.00049	N
CH	AR	3	4754	0.00046	N
CH	AR	3	25174	0.00046	N
CH	AR	3	12720	0.00046	N
CH	AR	3	926	0.00046	N
CH	AR	3	8385	0.00046	N
CH	AR	3	2046	0.00046	N
CH	AR	3	19046	0.00046	N
CH	AR	3	1280	0.00046	N
CH	AR	3	1194	0.00046	N
CH	AR	3	2271	0.00046	N
CH	AR	3	5546	0.00046	N
CH	AR	3	1977	0.00046	N
CH	AR	3	15912	0.00046	N
CH	AR	3	3809	0.00046	N
CH	AR	3	79	0.00046	N
CH	AR	3	495	0.00046	N
CH	AR	3	4076	0.00046	N
CH	AR	3	907	0.00046	N
CH	AR	3	4629	0.00046	N
CH	AR	3	408	0.00046	N
CH	AR	3	2	0.00046	N
CH	AR	3	24814	0.00046	N
CH	AR	3	81	0.00046	N
CH	AR	3	8	0.00046	N
CH	AR	3	2	0.00046	N
CH	AR	3	161	0.00046	N
CH	AR	3	17777	0.00046	N
CH	AR	3	19488	0.00046	N
CH	AR	3	861	0.00046	N
CH	AR	3	3498	0.00046	N
CH	AR	3	143	0.00046	N
CH	AR	3	196	0.00046	N
CH	AR	3	11	0.00046	N
CH	AR	3	3216	0.00046	N
CH	AR	3	6217	0.00046	N
CH	AR	3	168	0.00046	N
CH	AR	3	505	0.00046	N
CH	AR	3	3170	0.00046	N
CH	AR	3	8	0.00046	N
CH	AR	3	928	0.00046	N
CH	AR	3	17945	0.00046	N
CH	AR	3	2579	0.00046	N
CH	AR	3	3	0.00046	N
CH	AR	3	5737	0.00046	N
CH	AR	3	1009	0.00046	N
CH	AR	3	6139	0.00046	N
CH	AR	3	28	0.00046	N
CH	AR	3	612	0.00046	N
CH	AR	3	7035	0.00046	N
CH	AR	3	1392	0.00046	N
CH	AR	3	26	0.00046	N
CH	AR	3	1113	0.00046	N
CH	AR	3	690	0.00046	N
CH	AR	3	2	0.00046	N
CH	AR	3	960	0.00046	N
CH	AR	3	1327	0.00046	N
CH	AR	3	21565	0.00046	N
CH	AR	3	1220	0.00046	N
CH	AR	3	2	0.00046	N
CH	AR	3	4612	0.00046	N
CH	AR	3	143	0.00046	N
CH	AR	3	25185	0.00046	N
CH	AR	3	4506	0.00046	N
CH	AR	3	54	0.00046	N
CH	AR	3	754	0.00046	N
CH	AR	3	2055	0.00046	N
CH	AR	3	9343	0.00046	N
CH	AR	3	3126	0.00046	N
CH	AR	3	43210	0.00046	N
CH	AR	3	103748	0.00046	N
CH	AR	3	18998	0.00046	N
CH	AR	3	193	0.00046	N
CH	AR	3	502	0.00046	N
CH	AR	3	79	0.00046	N
CH	AR	3	10672	0.00046	N
CH	AR	3	5652	0.00058	N
CH	AR	3	102	0.00058	N
CH	AR	3	13345	0.00058	N
CH	AR	3	39319	0.00058	N
CH	AR	3	1972	0.00058	N
CH	AR	3	10	0.00058	N
CH	AR	3	1982	0.00058	N
CH	AR	3	18090	0.00058	N
CH	AR	3	1507	0.00058	N
CH	AR	3	22150	0.00058	N
CH	AR	3	6137	0.00058	N
CH	AR	3	7658	0.00058	N
CH	AR	3	4652	0.00058	N
CH	AR	3	1096	0.00058	N
CH	AR	3	41	0.00058	N
CH	AR	3	619	0.00058	N
CH	AR	3	5338	0.00058	N
CH	AR	3	20172	0.00058	N
CH	AR	3	139	0.00058	N
CH	AR	3	1712	0.00058	N
CH	AR	3	5874	0.00058	N
CH	AR	3	3103	0.00058	N
CH	AR	3	468	0.00058	N
CH	AR	3	823	0.00058	N
CH	AR	3	943	0.00058	N
CH	AR	3	7254	0.00058	N
CH	AR	3	31408	0.00058	N
CH	AR	3	3	0.00058	N
CH	AR	3	343	0.00058	N
CH	AR	3	2245	0.00058	N
CH	AR	3	1220	0.00058	N
CH	AR	3	8671	0.00058	N
CH	AR	3	26390	0.00058	N
CH	AR	3	33882	0.00058	N
CH	AR	3	2493	0.00058	N
CH	AR	3	3384	0.00058	N
CH	AR	3	2268	0.00058	N
CH	AR	3	5274	0.00058	N
CH	AR	3	540	0.00058	N
CH	AR	3	2	0.00058	N
CH	AR	3	322	0.00058	N
CH	AR	3	1828	0.00058	N
CH	AR	3	30554	0.00058	N
CH	AR	3	7	0.00058	N
CH	AR	3	2829	0.00058	N
CH	AR	3	2867	0.00058	N
CH	AR	3	36	0.00058	N
CH	AR	3	9672	0.00058	N
CH	AR	3	163	0.00058	N
CH	AR	3	11342	0.00058	N
CH	AR	3	964	0.00058	N
CH	AR	3	3	0.00058	N
CH	AR	3	1141	0.00058	N
CH	AR	3	12052	0.00058	N
CH	AR	3	1971	0.00058	N
CH	AR	3	1963	0.00058	N
CH	AR	3	2	0.00058	N
CH	AR	3	2	0.00058	N
CH	AR	3	2	0.00058	N
CH	AR	3	3	0.00058	N
CH	AR	3	4581	0.00058	N
CH	AR	3	3127	0.00058	N
CH	AR	3	2311	0.00058	N
CH	AR	3	1498	0.00058	N
CH	AR	3	19768	0.00058	N
CH	AR	3	128	0.00058	N
CH	AR	3	2	0.00058	N
CH	AR	3	18629	0.00058	N
CH	AR	3	1338	0.00058	N
CH	AR	3	4725	0.00058	N
CH	AR	3	7087	0.00058	N
CH	AR	3	52	0.00058	N
CH	AR	3	1275	0.00058	N
CH	AR	3	66	0.00058	N
CH	AR	3	4015	0.00058	N
CH	AR	3	39	0.00058	N
CH	AR	3	16299	0.00058	N
CH	AR	3	4380	0.00058	N
CH	AR	3	1906	0.00058	N
CH	AR	3	4428	0.00058	N
CH	AR	3	3961	0.00058	N
