Don Rec Reg      Phi    Obs(N) LowLim(N) Expect(N)  UpLim(N)  Prob(UE)  Obs#(CT)  Exp#(CT)  Prob(TS)
 AR  PP  3  0.999742    294.37   3715.06   3875.54   4050.51     0.050      1247   1312.53     0.047
 AR  PP  4  0.998741    231.65    740.32    794.26    856.68     0.184       292    357.80     0.009
 AR  PP  5  0.996066    161.08    249.00    254.19    259.60     0.522       167    349.66     0.004
 AR  PP  6  0.998096    431.36    496.37    525.21    557.60     0.198        44     54.85     0.004
 AR  PP  7  0.996633    180.92    290.54    297.00    303.75     0.313       246    357.86     0.003
 AR  PP  8  0.999579    197.08   2231.31   2375.37   2539.31     0.079       885    961.18     0.028
 AR  PP  9  0.998689    136.03    712.89    762.77    820.16     0.212       222    281.64     0.010
 AR  PP  10 0.998233    267.33    544.13    565.94    589.56     0.236       205    268.22     0.007
 AR  PP  11 0.999939   2263.59  14729.78  16400.02  18497.48     0.014       296    300.14     0.132
 AR  PP  12 0.999925  12744.80   8890.95  13336.42  26672.84     0.336        25     37.65     0.051
 AR  PP  13 0.999810   4078.55   3817.34   5262.61   8469.06     0.580        20     47.61     0.055
 AR  PP  14 0.999863  10793.11   7272.31   7300.79   7329.50     0.364       172    270.30     0.038
 CH  PP  1  0.999855   7665.29   5839.62   6895.69   8418.07     0.914        89   1039.20     0.213
 CH  PP  2  0.999815   4729.39   3322.22   5405.03  14488.10     0.498        64    127.43     0.049
 CH  PP  3  0.999792    373.31   4420.87   4807.23   5267.57     0.043       472    493.14     0.029
 CH  PP  4  0.998581    265.04    669.40    704.72    743.97     0.150       215    253.00     0.008
 CH  PP  5  0.999560    354.04   1942.26   2272.72   2738.69     0.078       160    173.49     0.024
 CH  PP  6  0.997845    370.61    414.18    464.04    527.54     0.224        36     46.39     0.004
 CH  PP  7  0.997593    278.02    400.20    415.45    431.91     0.240       197    259.14     0.004
 CH  PP  8  0.999515    215.76   1945.41   2061.84   2193.10     0.096       762    842.65     0.028
 CH  PP  9  0.995691    143.43    229.46    232.07    234.74     0.458       182    335.79     0.005
 CH  PP  10 0.995641    149.63    223.97    229.41    235.12     0.440       139    248.08     0.004
 CH  PP  11 0.998521    246.72    643.54    676.12    712.17     0.224       348    448.24     0.011
 CH  PP  12 0.996742    184.32    296.35    306.94    318.30     0.490        79    154.79     0.006
 CH  PP  13 0.996608    193.62    271.09    294.81    323.09     0.460        42     77.79     0.007
 CH  PP  14 0.999946   4000.53  16777.22  18517.90  20661.60     0.015       364    369.69     0.175
 CU  PP  1  0.999736   2845.32   3395.51   3788.04   4283.18     0.783       222   1024.09     0.115
 CU  PP  2  0.999559    726.28   1925.98   2267.50   2756.24     0.615       116    301.59     0.049
 CU  PP  3  0.998111    233.94    523.37    529.38    535.53     0.418       594   1020.22     0.007
 CU  PP  4  0.996901    187.38    314.36    322.68    331.45     0.430       210    368.39     0.005
 CU  PP  5  0.995752    123.51      0.00    235.40      0.00     0.643       189    529.38     0.007
 CU  PP  6  0.998148    384.89    512.33    539.96    570.75     0.336        46     69.26     0.008
 CU  PP  7  0.997575    261.77    400.49    412.37    424.98     0.346       137    209.34     0.003
 CU  PP  8  0.999582    226.50   2224.80   2392.30   2587.08     0.125       569    649.97     0.025
 CU  PP  9  0.999420    174.12   1604.55   1724.10   1862.89     0.161       211    251.45     0.026
 CU  PP  10 0.996742    180.50    299.44    306.94    314.82     0.538       121    262.18     0.005
 CU  PP  11 0.998417    210.23    617.22    631.72    646.92     0.347       323    494.88     0.011
 CU  PP  12 0.997207    202.03    327.61    358.04    394.69     0.546        63    138.62     0.007
 CU  PP  13 0.997334    214.92    350.86    375.09    402.92     0.498        12     23.92     0.003
 CU  PP  14 0.999807   1775.93   4747.37   5181.35   5702.66     0.077       420    455.27     0.060
 ST  PP  1  0.999894   8605.21   7550.50   9436.00  12576.62     0.897        57    554.72     0.164
 ST  PP  2  0.999796   3317.97   2157.84   4901.32 -18040.02     0.554        37     82.98     0.031
 ST  PP  3  0.998889    406.18    870.10    900.11    932.27     0.199       159    198.59     0.002
 ST  PP  4  0.997303    258.55    360.06    370.78    382.16     0.331        76    113.56     0.002
 ST  PP  5  0.996117    160.16    251.59    257.53    263.76     0.498        62    123.45     0.002
 ST  PP  6  0.997121    255.58    327.66    347.34    369.53     0.274        24     33.06     0.002
 ST  PP  7  0.996119    167.49    246.02    257.67    270.47     0.331        82    122.59     0.001
 ST  PP  8  0.998516    194.55    646.05    673.86    704.19     0.223       299    385.01     0.004
 ST  PP  9  0.998572    243.35    655.28    700.28    751.90     0.225        82    105.80     0.005
 ST  PP  10 0.997896    269.66    280.00    475.29   1570.90     0.276        74    102.25     0.003
 ST  PP  11 0.999706   3028.46   2500.33   3401.02   5315.97     0.063       178    189.94     0.024
 ST  PP  12 0.999978 134260.50  18850.80  45466.71-110376.42     0.052         4      4.22     0.027
 ST  PP  13 0.999187  85699.50    438.52   1230.00  -1528.26     0.799         2      9.96     0.004
 ST  PP  14 0.999905   9103.02   8806.94  10525.23  13076.55     0.136       134    155.13     0.044
 TL  PP  1  0.999896   9095.85   7028.58   9614.45  15210.53     0.736        62    234.68     0.067
 TL  PP  2  0.999825   4975.10   4234.53   5714.31   8783.88     0.539        48    104.14     0.043
 TL  PP  3  0.999825    633.74   5051.86   5714.31   6576.72     0.037       247    256.39     0.018
 TL  PP  4  0.998755    424.18    760.84    803.20    850.56     0.153       207    244.36     0.009
 TL  PP  5  0.999248    312.41   1220.25   1329.84   1461.05     0.142       180    209.85     0.017
 TL  PP  6  0.999013    888.30    850.60   1013.18   1252.59     0.129        23     26.41     0.005
 TL  PP  7  0.999187    551.46   1111.74   1230.00   1376.42     0.106       130    145.43     0.006
 TL  PP  8  0.999523    303.18   2018.68   2096.37   2180.27     0.095       832    918.85     0.031
 TL  PP  9  0.999404    315.97   1465.26   1677.89   1962.71     0.142       262    305.38     0.030
