Region  1
          AR      CH      CU      PP      ST      TL
AR         0    4827       0    3985    3315    4616
Min        0    5325       0    3251    3271    4181
Max        0    5718       0    3574    3619    4554
P<    0.0000  0.0000  0.0000  1.0000  0.0021  1.0000
P>    1.0000  1.0000  1.0000  0.0000  0.9979  0.0000

CH      9281       0       0    3149    3786    3513
Min     7913       0       0    3324    3370    4340
Max     8373       0       0    3693    3733    4743
P<    1.0000  0.0000  0.0000  0.0000  1.0000  0.0000
P>    0.0000  1.0000  1.0000  1.0000  0.0000  1.0000

CU      6486    6534       0    3233    3009    5157
Min     7576    5276       0    3186    3254    4139
Max     8035    5720       0    3546    3600    4539
P<    0.0000  1.0000  0.0000  0.0020  0.0000  1.0000
P>    1.0000  0.0000  1.0000  0.9980  1.0000  0.0000

PP      5207    3438       0       0    2899    3266
Min     5295    3657       0       0    2235    2871
Max     5702    4023       0       0    2549    3220
P<    0.0000  0.0000  0.0000  0.0000  1.0000  1.0000
P>    1.0000  1.0000  1.0000  1.0000  0.0000  0.0000

ST      4885    2195       0    1270       0    1802
Min     3615    2472       0    1492       0    1944
Max     3935    2810       0    1766       0    2239
P<    1.0000  0.0000  0.0000  0.0000  0.0000  0.0000
P>    0.0000  1.0000  1.0000  1.0000  1.0000  1.0000

TL      4270    3941       0    2406    1973       0
Min     4712    3252       0    1975    1990       0
Max     5079    3616       0    2253    2298       0
P<    0.0000  1.0000  0.0000  1.0000  0.0000  0.0000
P>    1.0000  0.0000  1.0000  0.0000  1.0000  1.0000



Random seed =         -482854
