Region,Beg,End,Count
  431,   5625205,   5625211, 1.000
  432,   5625754,   5634533, 1.752
  433,   5635426,   5635432, 1.000
  434,   5637359,   5638607, 1.006
  435,   5640078,   5640097, 1.000
  436,   5640314,   5640902, 1.000
  437,   5641866,   5641895, 1.000
  438,   5643080,   5645974, 1.056
  439,   5646883,   5648373, 1.407
  440,   5648918,   5648948, 1.000
  441,   5650848,   5668758, 1.853
  442,   5669368,   5671494, 1.087
  443,   5674020,   5674268, 1.000
  444,   5676852,   5676950, 1.000
  445,   5677325,   5677939, 1.094
  446,   5679802,   5679837, 1.000
  447,   5679938,   5682012, 1.056
  448,   5682267,   5682553, 1.875
  449,   5684800,   5731833, 3.017
  450,   5736143,   5748034, 1.691
  451,   5752482,   5790044, 3.093
  452,   5791168,   5791235, 1.000
  453,   5794127,   5794255, 1.000
  454,   5794893,   5795013, 1.000
  455,   5797834,   5798450, 1.429
  456,   5798900,   5833626, 1.262
  457,   5835095,   5842378, 1.968
  458,   5843230,   5844078, 1.001
  459,   5844429,   5844991, 2.048
  460,   5845871,   5845875, 1.000
  461,   5846891,   5847601, 1.159
  462,   5848005,   5848008, 1.000
  463,   5848568,   5848569, 1.000
  464,   5849168,   5851119, 1.786
  465,   5851576,   5851615, 1.000
  466,   5854461,   5856573, 1.196
  467,   5857206,   5868789, 1.612
  468,   5871508,   5871509, 1.000
  469,   5871673,   5871780, 1.046
  470,   5871800,   5871825, 1.000
  471,   5871909,   5871912, 1.000
  472,   5872494,   5884776, 1.218
  473,   5887754,   5887756, 1.000
  474,   5887986,   5889250, 1.206
  475,   5892704,   5892977, 1.821
  476,   5893559,   5893896, 1.456
  477,   5894980,   5894993, 1.000
  478,   5895026,   5895154, 1.078
  479,   5897063,   5897072, 1.000
  480,   5897110,   5897181, 1.000
  481,   5898117,   5906834, 2.096
  482,   5907654,   5909692, 1.002
  483,   5912214,   5957673, 1.483
  484,   5959138,   5959145, 1.000
  485,   5959871,   5966826, 1.043
  486,   5976601,   5999662, 1.535
  487,   6000041,   6000159, 1.109
  488,   6001014,   6001564, 2.278
  489,   6002582,   6068228, 1.553
  490,   6070207,   6094077, 1.472
  491,   6094567,   6094809, 1.000
  492,   6096224,   6096900, 1.000
  493,   6098001,   6098343, 1.469
  494,   6098880,   6105038, 1.000
